"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2021 22:00 - 04.01.2021 22:15","54611","61261"
"04.01.2021 22:15 - 04.01.2021 22:30","54002","60620"
"04.01.2021 22:30 - 04.01.2021 22:45","53402","59446"
"04.01.2021 22:45 - 04.01.2021 23:00","52463","58529"
"04.01.2021 23:00 - 04.01.2021 23:15","51432","57508"
"04.01.2021 23:15 - 04.01.2021 23:30","50611","56768"
"04.01.2021 23:30 - 04.01.2021 23:45","49873","56145"
"04.01.2021 23:45 - 05.01.2021 00:00","49416","55493"
"05.01.2021 00:00 - 05.01.2021 00:15","46083","53715"
"05.01.2021 00:15 - 05.01.2021 00:30","45399","52673"
"05.01.2021 00:30 - 05.01.2021 00:45","45052","52088"
"05.01.2021 00:45 - 05.01.2021 01:00","44535","51746"
"05.01.2021 01:00 - 05.01.2021 01:15","43905","51556"
"05.01.2021 01:15 - 05.01.2021 01:30","43360","51298"
"05.01.2021 01:30 - 05.01.2021 01:45","42979","50928"
"05.01.2021 01:45 - 05.01.2021 02:00","42891","50562"
"05.01.2021 02:00 - 05.01.2021 02:15","42947","50231"
"05.01.2021 02:15 - 05.01.2021 02:30","42909","50038"
"05.01.2021 02:30 - 05.01.2021 02:45","42964","49772"
"05.01.2021 02:45 - 05.01.2021 03:00","43077","49997"
"05.01.2021 03:00 - 05.01.2021 03:15","43038","50219"
"05.01.2021 03:15 - 05.01.2021 03:30","43601","50223"
"05.01.2021 03:30 - 05.01.2021 03:45","43576","50337"
"05.01.2021 03:45 - 05.01.2021 04:00","43677","50427"
"05.01.2021 04:00 - 05.01.2021 04:15","44018","50740"
"05.01.2021 04:15 - 05.01.2021 04:30","44405","50840"
"05.01.2021 04:30 - 05.01.2021 04:45","44638","51085"
"05.01.2021 04:45 - 05.01.2021 05:00","45105","51264"
"05.01.2021 05:00 - 05.01.2021 05:15","45788","52679"
"05.01.2021 05:15 - 05.01.2021 05:30","46292","53033"
"05.01.2021 05:30 - 05.01.2021 05:45","46921","53608"
"05.01.2021 05:45 - 05.01.2021 06:00","47772","54824"
"05.01.2021 06:00 - 05.01.2021 06:15","49758","57076"
"05.01.2021 06:15 - 05.01.2021 06:30","51368","58477"
"05.01.2021 06:30 - 05.01.2021 06:45","52488","59485"
"05.01.2021 06:45 - 05.01.2021 07:00","53800","60600"
"05.01.2021 07:00 - 05.01.2021 07:15","55263","62559"
"05.01.2021 07:15 - 05.01.2021 07:30","54727","63157"
"05.01.2021 07:30 - 05.01.2021 07:45","55647","64127"
"05.01.2021 07:45 - 05.01.2021 08:00","56436","65277"
"05.01.2021 08:00 - 05.01.2021 08:15","57540","66137"
"05.01.2021 08:15 - 05.01.2021 08:30","57879","66732"
"05.01.2021 08:30 - 05.01.2021 08:45","57963","67083"
"05.01.2021 08:45 - 05.01.2021 09:00","58533","67412"
"05.01.2021 09:00 - 05.01.2021 09:15","58538","67953"
"05.01.2021 09:15 - 05.01.2021 09:30","59254","68413"
"05.01.2021 09:30 - 05.01.2021 09:45","59962","68759"
"05.01.2021 09:45 - 05.01.2021 10:00","60407","68873"
"05.01.2021 10:00 - 05.01.2021 10:15","60576","68885"
"05.01.2021 10:15 - 05.01.2021 10:30","60917","69512"
"05.01.2021 10:30 - 05.01.2021 10:45","61190","69740"
"05.01.2021 10:45 - 05.01.2021 11:00","61624","70041"
"05.01.2021 11:00 - 05.01.2021 11:15","61923","70414"
